ID,SST_Median,SST_Skewness,SST_Kurtosis,SST_sd,SST_bimodality,SSTRateofRise,cumDHW
2859,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,161.5840977
2860,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,164.0012645
2861,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,165.9943944
2862,28.25967251,-0.012273243,-1.055852208,1.240553524,0.514338895,0.013649256,87.06843536
2863,28.25967251,-0.012273243,-1.055852208,1.240553524,0.514338895,0.013649256,88.1567981
2864,28.25967251,-0.012273243,-1.055852208,1.240553524,0.514338895,0.013649256,89.10498714
2865,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,151.4956176
2866,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,153.204931
2867,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,156.3535951
2868,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,158.9607109
2869,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,161.7270943
2870,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,161.7270943
2871,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,164.426921
2872,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,167.5679112
2873,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,170.3912159
2874,28.25967251,-0.012273243,-1.055852208,1.240553524,0.514338895,0.013649256,87.07301663
2875,28.25967251,-0.012273243,-1.055852208,1.240553524,0.514338895,0.013649256,88.15847032
2876,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,153.7995116
2877,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,156.6549159
2878,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,159.6669276
2879,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,161.973371
2880,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,164.8629853
2881,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,164.8629853
2882,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,168.287692
2883,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,171.1609167
2884,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,156.6379695
2885,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,159.1695388
2886,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,161.7153488
2887,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,164.4559873
2888,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,168.0679559
2889,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,168.0679559
2890,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,171.0483696
2891,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,159.6324095
2892,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,161.6979022
2893,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,164.0578746
2894,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,167.0917382
2895,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,170.8617665
2896,28.34718261,0.018070808,-1.018509529,1.152462396,0.504742291,0.012957353,170.8617665
2897,27.81518753,-0.048627054,-1.181810942,1.380662463,0.551156312,0.01331368,126.2960302
