ID,Lat,Lon,Country,hardcoral,hardcoral26,hardcoral85
1862,-22.334456,40.401726,French Southern Territories,31.41942692,43.14853189,18.44374195
1863,-22.334456,43.208961,Madagascar,19.44599507,38.07778687,22.1088055
1864,-22.334456,43.231419,Madagascar,19.44624685,38.11142189,22.27423963
1865,-22.355347,40.334352,French Southern Territories,32.24610832,43.17315516,17.21995565
1866,-22.355347,40.401726,French Southern Territories,33.23863144,44.94739378,19.09696691
1867,-22.355347,43.208961,Madagascar,19.87541469,38.66652553,22.0720119
1868,-22.355347,43.231419,Madagascar,19.91587417,38.70153402,22.23152854
1869,-22.355347,43.253877,Madagascar,19.91587417,38.70153402,22.23152854
1870,-22.376235,40.334352,French Southern Territories,32.36629776,43.00546387,16.59572163
1871,-22.376235,40.379268,French Southern Territories,33.48680394,44.7298184,18.00771636
1872,-22.376235,40.401726,French Southern Territories,33.21661829,44.7819893,18.1713868
1873,-22.376235,43.231419,Madagascar,19.90541668,38.54433366,21.79395001
1874,-22.376235,43.253877,Madagascar,19.90541668,38.54433366,21.79395001
1875,-22.39712,40.334352,French Southern Territories,32.48059568,42.77818503,15.90981268
1876,-22.39712,40.35681,French Southern Territories,33.78749617,44.4217928,16.95865706
1877,-22.39712,40.379268,French Southern Territories,33.44405372,44.51274593,17.19852744
1878,-22.39712,43.231419,Madagascar,19.77256248,38.34686591,21.21346704
1879,-22.39712,43.253877,Madagascar,19.75054454,38.33017335,21.068428
1880,-22.39712,43.276335,Madagascar,19.90950775,38.19764501,20.58687278
1881,-22.418002,43.231419,Madagascar,21.14122706,40.39457378,22.30670936
1882,-22.418002,43.253877,Madagascar,21.24687527,40.32297608,22.15908433
1883,-22.418002,43.276335,Madagascar,21.36607353,40.31861771,22.07933265
1884,-22.438881,43.231419,Madagascar,32.53945965,54.94114634,34.06189471
1885,-22.438881,43.253877,Madagascar,32.61460287,54.79556992,33.80536838
1886,-22.438881,43.276335,Madagascar,32.77103768,54.79108348,33.7018488
1887,-22.459756,43.231419,Madagascar,32.12910808,54.58811166,33.16754305
1888,-22.459756,43.253877,Madagascar,32.23784226,54.58711308,33.12068887
1889,-22.459756,43.276335,Madagascar,32.4057051,54.5861146,33.117196
1890,-22.480628,43.231419,Madagascar,32.050436,54.48328876,32.79700108
1891,-22.480628,43.253877,Madagascar,32.06162894,54.41389273,32.74225167
1892,-22.480628,43.276335,Madagascar,25.45183733,46.0465895,25.86340481
1893,-22.480628,43.298793,Madagascar,25.45183733,46.0465895,25.86340481
1894,-22.501497,43.231419,Madagascar,31.95507527,54.34526709,32.10597514
1895,-22.501497,43.253877,Madagascar,28.03510187,49.68031482,28.2190653
1896,-22.501497,43.276335,Madagascar,25.19281576,45.90654232,25.30110407
1897,-22.501497,43.298793,Madagascar,25.19281576,45.90654232,25.30110407
1898,-22.522363,43.231419,Madagascar,32.02814438,54.23924878,31.51435123
1899,-22.522363,43.253877,Madagascar,26.88337959,48.18871513,26.52480479
1900,-22.522363,43.276335,Madagascar,25.06404998,45.8032079,24.78114189
1901,-22.522363,43.298793,Madagascar,25.06404998,45.8032079,24.78114189
1902,-22.543226,43.231419,Madagascar,31.86462657,54.0216278,30.88125446
1903,-22.543226,43.253877,Madagascar,26.69895681,47.83101304,25.89399254
1904,-22.543226,43.276335,Madagascar,24.98445008,45.51824647,24.19155063
1905,-22.543226,43.298793,Madagascar,24.98445008,45.51824647,24.19155063
1906,-22.564086,43.231419,Madagascar,31.72684,53.90442625,30.29447011
1907,-22.564086,43.253877,Madagascar,26.59290156,47.7120493,25.3258687
1908,-22.564086,43.276335,Madagascar,24.89713404,45.45487516,23.60945552
1909,-22.564086,43.298793,Madagascar,24.89713404,45.45487516,23.60945552
