"","PU_ID","PU_Lat","PU_Lon","Country","Ecoregion","Management","Habitat","Exposure","Islands","Observer","Lon","Lat","Order","Depth","Year","Month","Day","Genera","Colonies","Number_colonies","Number_genera","Perc_bleach","Bleach_Ind","Suscept","Diversity","Perc_hard","SST_Mean","SST_Median","SST_Skewness","SST_Kurtosis","SSTRateofRise","SST_sd","SST_bimodality","cumDHW","GlobalStressModel","ClimateStressModel","PARmax","Calcite","PH","Dis_oxygen","Diff_attenuation","mean.npp","mean.waveNRJ","Sediment_Index","clusters","ChlorA_mean","ChlorA_median","ChlorA_max","ChlorA_min","ChlA_mean_old","Current_vel_mean","Carbonphyto_mean","PP_mean","Salinity_mean","Distance_to_shore_km","TT_pop_mins","TT_pop_hrs","TT_market_min","TT_market_hrs","Grav_NC","Grav_cities","Grav_tot","Grav_NP","andrello_cumulative_score","andrello_grv_NC","andrello_pop_cnt","andrello_reef_value","andrello_sediments","andrello_nutrients","byr_ovrl_climate_score","byr_hist_thrml_stress","byr_future_cond","byr_recent_thrml_cond","byr_connectivity","byr_cyclones","Retention","Outdegree","Indegree","Netflow","Coralcover","historical_sst_max","Distance_to_port","Acanthastrea","Acropora","Alveopora","Anomastrea","Astreopora","Blastomussa","Caulastrea","Coeloseris","Coscinaraea","Ctenactis","Cycloseris","Cyphastrea","Diploastrea","Echinophyllia","Echinopora","Euphyllia","Favia","Favites","Fungia","Galaxea.astreata","Galaxea.fascicularis","Gardineroseris","Goniastrea","Goniopora","Gyrosmilia","Halomitra","Heliopora","Herpolitha","Hydnophora","Isopora","Leptastrea","Leptoria","Leptoseris","Lobophyllia","Merulina","Millepora","Montastrea","Montipora","Mycedium","Oulastrea","Oulophyllia","Oxypora","Pachyseris","Pavona","Pectinia","Physogyra","Platygyra","Plerogyra","Plesiastrea","Pocillopora","Podabacia","Polyphyllia","Porites.branching","Porites.massive","Psammocora","Pseudosiderastrea","Sandalolitha","Scolymia","Seriatopora","Stylocoeniella","Stylophora","Symphyllia","Synarea","Trachyphyllia","Tubastrea","Tubipora","Turbinaria","Number_of_colonies","Number_of_genera"
"120",866,-4.656797,39.346206,"Kenya","East African Coral Coast","UnfishedLow","Lagoon/Back reef","Exposed","Island","Tim",39.3429,-4.6412,599,1.5,2011,9,13,24,265,265,25,0,0,15.88837845,0.91742257,32.41,27.12763629,27.205,-0.038884835,-0.765318739,0.01954863,1.239853763,0.448022389,25.7955496,0.918099999,0.730700016,54.44650078,0.0017445,8.215000153,4.710999966,0.116500001,970.1774902,0.165026918,0.730000019,1,0.895893362,0.841415823,1.221906871,0.71619567,0.768999994,0.763393,1.4096025,0.0121205,35.1376875,0,20,0.333333333,107,1.783333333,70.4128082,120.7239986,312,0.021011326,0.751246422,70.4128082,3402.320886,252,7633.666504,2.758802652,0.1306,0.62592,0.17964,0.88082,0.70248,0.76178,128.75,36.75,57,0.001167341,38,30.59377098,52.81217839,7,0,0,0,0,0,0,0,2,0,0,2,0,0,8,0,16,3,37,26,4,0,5,12,0,0,0,0,3,0,1,0,0,8,0,5,0,1,0,0,0,0,0,11,0,2,5,1,0,4,0,0,32,24,0,0,0,0,0,0,28,0,18,0,0,0,0,265,25
"121",866,-4.656797,39.346206,"Kenya","East African Coral Coast","UnfishedLow","Lagoon/Back reef","Sheltered","Island","Nyawira",39.33645,-4.64363,596,3.75,2021,12,14,29,297,297,29,20.526513985,3.421085664,15.528405135,0.897844073,41.51960784,27.12763629,27.205,-0.038884835,-0.765318739,0.01954863,1.239853763,0.448022389,25.7955496,0.918099999,0.730700016,54.44650078,0.0017445,8.215000153,4.710999966,0.116500001,970.1774902,0.165026918,0.730000019,1,0.895893362,0.841415823,1.221906871,0.71619567,0.768999994,0.763393,1.4096025,0.0121205,35.1376875,0,20,0.333333333,107,1.783333333,70.4128082,120.7239986,312,0.021011326,0.751246422,70.4128082,3402.320886,252,7633.666504,2.758802652,0.1306,0.62592,0.17964,0.88082,0.70248,0.76178,128.75,36.75,57,0.001167341,38,30.59377098,52.81217839,2.5,16,1,0,0.5,0,0,0,0,0,0,0,1.5,1,16.5,0,2,5.5,63.5,23,15.5,0,0.5,1,0,21.5,0,0.5,1,0,0,1.5,0,7.5,3,12.5,1.5,5,0,0,0,0.5,0,5,0,0,10.5,1,0,2,0,0,20.5,13,1.5,0,0,0,28,0,0.5,1,9,0,0,0.5,0,297,29
"122",866,-4.656797,39.346206,"Kenya","East African Coral Coast","UnfishedLow","Lagoon/Back reef","Sheltered","Island","Tim",39.3408,-4.6417,600,2.75,2014.5,3,9.25,27,310.75,310.75,27.25,9.280951091,1.71554116725,16.62272404,0.89440284925,36.240625,27.12763629,27.205,-0.038884835,-0.765318739,0.01954863,1.239853763,0.448022389,25.7955496,0.918099999,0.730700016,54.44650078,0.0017445,8.215000153,4.710999966,0.116500001,970.1774902,0.165026918,0.730000019,1,0.895893362,0.841415823,1.221906871,0.71619567,0.768999994,0.763393,1.4096025,0.0121205,35.1376875,0,20,0.333333333,107,1.783333333,70.4128082,120.7239986,312,0.021011326,0.751246422,70.4128082,3402.320886,252,7633.666504,2.758802652,0.1306,0.62592,0.17964,0.88082,0.70248,0.76178,128.75,36.75,57,0.001167341,38,30.59377098,52.81217839,2.5,13.5,0,0,0.5,0,0,0,0.5,0,0,0.75,2,2.5,16.5,0,10,3.25,60.25,3.25,13.25,0,2.5,1.25,0,1,0,0.75,4.5,0,0.75,0.5,0,11.75,3.75,14.75,0,3.75,0.5,0,0,0,0,8.75,0,0,15.75,0,0,5.5,0,0,46.75,13.75,0.5,0,0.25,0,21,0,7.25,0.25,16.25,0,0,0.25,0,311,27
"123",867,-4.656797,39.368664,"Kenya","East African Coral Coast","UnfishedLow","Lagoon/Back reef","Sheltered","Continent","Nyawira",39.3646903333333,-4.65133066666667,591,2.66666666666667,2018,8.33333333333333,13.3333333333333,22.6666666666667,303.666666666667,303.666666666667,22.6666666666667,21.4547830386667,4.649733563,18.7228369066667,0.842856884666667,46.2222222233333,27.12285755,27.21,-0.036279197,-0.770054512,0.019138356,1.240903426,0.448885754,24.70997052,0.91444999,0.727025002,54.44650078,0.0017445,8.215000153,4.710999966,0.116500001,973.5820923,3.910353422,0.726000011,1,0.778511294,0.733984739,0.979327713,0.627649245,0.768999994,0.763393,1.4096025,0.0121205,35.1376875,0,20,0.333333333,107,1.783333333,70.4128082,120.7239986,312,0.021011326,0.76207219,71.53360788,6198.83566,393,3969.175781,2.272863388,0.13503,0.66585,0.17549,0.98024,0.70248,0.76178,53.25,47,43.5,0.629931269,30,30.59377098,54.13148818,1.66666666666667,40.3333333333333,0.333333333333333,0,2.33333333333333,0,0,0,0.333333333333333,0,0,0,1,0,5.66666666666667,0,2,2.66666666666667,13,2,10,0,1.66666666666667,1,0,0.333333333333333,0,0.666666666666667,1,0,0,0,0,2.66666666666667,0,6.33333333333333,0.666666666666667,3.66666666666667,0,0,0.333333333333333,0.333333333333333,0,5.33333333333333,0,0,5,1,0,7,0,0,42,61.6666666666667,0,0,0,0,73.3333333333333,0,0,0.333333333333333,7.33333333333333,0,0,0,0.666666666666667,304,23
"124",867,-4.656797,39.368664,"Kenya","East African Coral Coast","UnfishedLow","Lagoon/Back reef","Sheltered","Continent","Tim",39.36544,-4.64481,595,1,2012,5,25,26,309,309,26,2.265372168,0.485436893,17.99572121,0.905227218,47,27.12285755,27.21,-0.036279197,-0.770054512,0.019138356,1.240903426,0.448885754,24.70997052,0.91444999,0.727025002,54.44650078,0.0017445,8.215000153,4.710999966,0.116500001,973.5820923,3.910353422,0.726000011,1,0.778511294,0.733984739,0.979327713,0.627649245,0.768999994,0.763393,1.4096025,0.0121205,35.1376875,0,20,0.333333333,107,1.783333333,70.4128082,120.7239986,312,0.021011326,0.76207219,71.53360788,6198.83566,393,3969.175781,2.272863388,0.13503,0.66585,0.17549,0.98024,0.70248,0.76178,53.25,47,43.5,0.629931269,30,30.59377098,54.13148818,4,9,0,0,6,0,0,0,0,0,0,0,0,0,6,0,14,8,40,4,6,0,2,0,0,0,0,0,0,0,4,1,0,0,4,18,0,0,0,0,0,1,0,4,0,0,12,0,0,5,0,1,34,60,0,0,0,0,1,0,29,6,27,0,0,0,3,309,26
"125",868,-4.656797,39.391121,"Kenya","East African Coral Coast","UnfishedLow","Lagoon/Back reef","Exposed","Continent","Nyawira",39.39255,-4.64965,592.5,4,2011,9,12,24,173.5,173.5,24.5,0,0,16.455335295,0.879719052,22.135,27.11963078,27.21,-0.035416552,-0.77649814,0.018781445,1.242760101,0.450158378,24.62833354,0.91079998,0.723349988,54.44650078,0.0017445,8.215000153,4.710999966,0.116500001,973.5820923,3.910353422,0.722000003,1,0.661140738,0.636012495,0.902571067,0.523974194,0.768999994,0.763393,1.4096025,0.0121205,35.1376875,0,17,0.283333333,105,1.75,72.65440756,107.1775252,300,0.063383083,0.749201509,69.92907753,8435.157505,61,1783.397461,2.485975742,0.13161,0.70033,0.17399,1.06709,0.49266,0.76178,53.25,47,43.5,0.629931269,30,30.59377098,55.53206239,2,16,0,0,2.5,0,0,0,2.5,0,0,0.5,0,2,4.5,0,6.5,4.5,24,7.5,4,0,0,2.5,0,0,0,0.5,2.5,0,1,0,0,0.5,0.5,4.5,0,2,0,0,0,0,0,1.5,0,0,4.5,0,0,6,0,0,36.5,19.5,0,0,0,0,7.5,0,3.5,0.5,2,0,0,1.5,0,174,24
"126",868,-4.656797,39.391121,"Kenya","East African Coral Coast","UnfishedLow","Lagoon/Back reef","Sheltered","Continent","Nyawira",39.38876875,-4.6573,585.125,3.1875,2018.375,10.375,14.375,19.75,214.125,214.125,19.75,6.279739621625,1.054793204875,19.31561084375,0.80725255775,23.79091612625,27.11963078,27.21,-0.035416552,-0.77649814,0.018781445,1.242760101,0.450158378,24.62833354,0.91079998,0.723349988,54.44650078,0.0017445,8.215000153,4.710999966,0.116500001,973.5820923,3.910353422,0.722000003,1,0.661140738,0.636012495,0.902571067,0.523974194,0.768999994,0.763393,1.4096025,0.0121205,35.1376875,0,17,0.283333333,105,1.75,72.65440756,107.1775252,300,0.063383083,0.749201509,69.92907753,8435.157505,61,1783.397461,2.485975742,0.13161,0.70033,0.17399,1.06709,0.49266,0.76178,53.25,47,43.5,0.629931269,30,30.59377098,55.53206239,1.375,16.375,0.5,0,7,0,0,0,0.75,0,0,0.125,0,0,2.5,0,4.375,11,0.25,0.125,23.125,0,1.25,6.625,0,0,0,0,1.625,0,0.25,0,0,0.625,0.25,1.875,0.875,2.25,0,0,0.125,0,0,1,0,0,4.75,0,0,5.125,0,0,77.125,32.625,0,0,0,0,5,0,0.625,0,1.125,0,0,2.25,1.25,214,20
"127",868,-4.656797,39.391121,"Kenya","East African Coral Coast","UnfishedLow","Lagoon/Back reef","Sheltered","Continent","Tim",39.3885733333333,-4.65978333333333,582.333333333333,4,2017,7.66666666666667,14.6666666666667,21.6666666666667,279,279,21.6666666666667,1.398354144,0.377869106,19.51969558,0.859574188333333,23.1269841233333,27.11963078,27.21,-0.035416552,-0.77649814,0.018781445,1.242760101,0.450158378,24.62833354,0.91079998,0.723349988,54.44650078,0.0017445,8.215000153,4.710999966,0.116500001,973.5820923,3.910353422,0.722000003,1,0.661140738,0.636012495,0.902571067,0.523974194,0.768999994,0.763393,1.4096025,0.0121205,35.1376875,0,17,0.283333333,105,1.75,72.65440756,107.1775252,300,0.063383083,0.749201509,69.92907753,8435.157505,61,1783.397461,2.485975742,0.13161,0.70033,0.17399,1.06709,0.49266,0.76178,53.25,47,43.5,0.629931269,30,30.59377098,55.53206239,2.66666666666667,10.6666666666667,1.33333333333333,0,8,0,0,0,5.66666666666667,0,0,0.666666666666667,0,0,6.66666666666667,0,13.3333333333333,20,0.333333333333333,0.333333333333333,36,0.333333333333333,0.666666666666667,9,0,0,0,0,4.66666666666667,0,0,0.333333333333333,0,0,0,0.666666666666667,0,3.66666666666667,0,0,0,0,0,1.66666666666667,0,0.666666666666667,10.6666666666667,0,0,10.3333333333333,0,0,83.3333333333333,28.3333333333333,0,0,0,0,6.66666666666667,0,9.66666666666667,0.333333333333333,0,0,0,2.33333333333333,0,279,22
"128",872,-4.679331,39.436037,"Kenya","East African Coral Coast","Restricted","Slope","Exposed","Island","Tim",39.4467,-4.6722,577,29,2009,12,5,22,91,91,22,0,0,15.11566156,0.916314455,10,27.11636093,26.77666667,-0.035988083,-0.784624224,0.018395843,1.24710295,0.451827451,24.0457264,0.869650006,0.628700018,54.68399811,0.00014,8.213999748,4.712999821,0.07,946.7952271,4.377082348,0.61500001,1,0.339189856,0.31676048,0.469331928,0.252204201,0.273999989,0.234075,0.024979,0,34.970097,1.2,17,0.283333333,105,1.75,72.65440756,107.1775252,300,0.063383083,0.731948662,72.65440756,3142.054478,62,1916.254883,1.823716402,0.12921,0.67437,0.17134,1.06174,0.49266,0.76178,53.25,47,43.5,0.629931269,30,30.59377098,56.63025599,2,3,0,0,0,0,0,0,4,0,0,2,0,0,7,0,5,3,9,0,0,2,2,3,0,0,0,2,14,0,0,0,1,0,0,0,0,5,3,0,0,2,2,3,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91,22
"129",889,-1.745137,41.52462,"Kenya","Northern Monsoon Current Coast","Fished","Crest","Exposed","Island","Tim",41.53,-1.74,747,1,2008,3,8,18,145,145,18,0.689655172,0.098522167,16.31833022,0.822068966,10.9,26.8728652,26.7925,0.301776516,-0.520975118,0.009867164,1.229158158,0.439991588,15.6321141,0.864250004,0.655550003,54.95350075,0.001467,8.194999695,4.699999809,0.180499997,1327.504028,0.180968925,0.810000002,3,0.851910517,0.77112186,1.187668231,0.652686189,1.116999984,0.608857,0.868347,0.0086015,35.26305,0.2,1,0.016666667,251,4.183333333,2.902393492,14.09939106,109,2.076578617,0.482916044,2.833816836,567.1315634,0,42.42082214,0.5633322,0.15733,0.80115,0.22256,1.73768,0.58709,0.76178,29.75,14.5,52.5,-0.400667043,10,30.78792763,90.47496661,1,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,4,0,0,1,0,18,4,0,0,0,0,2,0,12,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,3,0,0,43,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,145,18
